,Date,Tweet Id,Text,Username
31,2021-02-11 05:29:14+00:00,1359736229911097347,"Four of the five deaths Jan 6 we’re Trump supporters. One was shot, one had a stroke, one possibly trampled to death, one had a heart attack.
#seanhannity #tuckercarlsontonight #gop #ingrahamangle #democrats #trump2024  #maga #joebiden #Biden #dems #potus https://t.co/9VTNOxr5f0",rcs1218
32,2021-02-11 05:28:56+00:00,1359736155185401856,"Carefully concocted leftist lies create the mythical narrative they want about Jan 6. What actually happened does not match up with facts that are now known.
#seanhannity #tuckercarlsontonight #gop #ingrahamangle #democrats #trump2024  #maga #joebiden #Biden #dems #potus https://t.co/k539SkmekG",rcs1218
33,2021-02-11 05:27:23+00:00,1359735762791596035,https://t.co/rV2vNBV7xx  #JoeBiden #Insulin4all,TheFitLegend
34,2021-02-11 05:27:02+00:00,1359735677932490756,"Biden says he will never hesitate to use force to protect America | #TroopsWithdrawal #JoeBiden #EndlessWars #ArianaNews #USTroops

https://t.co/fAk7VbB68Z https://t.co/24hnGFDQe6",ArianaNews_
35,2021-02-11 05:26:44+00:00,1359735599255724033,Love me some #Oklahoma This #Governor is leading his state. @GovStitt thank you sir. Kiss it #JoeBidenPresident #JoeBiden #CNN #msnbc #TrumpIsGuilty https://t.co/QGcBeTLycI,JumpinJohoseph1
36,2021-02-11 05:23:39+00:00,1359734824647315457,"சதித்திட்டத்தின் பின்னாலுள்ள மியான்மர் இராணுவத் தலைவர்கள் மீது பைடன் பொருளாதாரத் தடைகள் விதிப்பு

https://t.co/aLGQrKt10Q
#Myanmar #JoeBiden",virakesari_lk
37,2021-02-11 05:20:51+00:00,1359734121111506947,மியான்மர் நாட்டின் மீது பொருளாதார தடை... அமெரிக்க அதிபர் பைடன் அதிரடி அறிவிப்பு https://t.co/OpD7HmY1Us #myanmar #joebiden #us #usa #அமெரிக்கா #மியான்மர்,thatsTamil
38,2021-02-11 05:19:19+00:00,1359733733662674945,"COVID-19 relief could help fight hunger.
#perceptivx 
#covid19
#hunger #economiccrisis #socioeconomic 
#poverty #publicservice #joebiden
https://t.co/kGOyasdalA",PerceptivX
39,2021-02-11 05:17:02+00:00,1359733158183272455,"President #JoeBiden’s Schedule for Thursday, February 11, 2021 https://t.co/yBbARnvTtt https://t.co/9lTKwQaOFx",CDNnow
40,2021-02-11 05:17:00+00:00,1359733152437051395,"#JUSTIN | அமெரிக்க அதிபராக பதவியேற்ற பின்னர் முதன் முறையாக சீன அதிபர் ஜி ஜின்பிங் உடன் ஜோ பைடன் தொலைபேசியில் பேச்சு!

#JoeBiden | #China https://t.co/7SO787BUbI",velichamtvtamil
